"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_csi" "Month"
"103.1" 0.393939393939394 0.428571428571429 0.516129032258065 0.516129032258065 0.5 0.5 0.125 0.516129032258065 3
"103.40" 0.305555555555556 0.428571428571429 0.5 0.457142857142857 0.444444444444444 0.451612903225806 0.2 0.5 3
"104.23" 0 0.166666666666667 0 0.166666666666667 0.4 0 0 0.4 5
"105.1" 0 0.0666666666666667 0.0769230769230769 0.272727272727273 0.125 -1 -1 0.272727272727273 4
"107.3" 0 0 0 0.5 0 0 0 0.5 4
"109.29" 0.315789473684211 0.2 0.263157894736842 0.238095238095238 0.238095238095238 0.2 0.25 0.315789473684211 1
"109.42" 0.333333333333333 0.371428571428571 0.382352941176471 0.333333333333333 0.416666666666667 0.24 0.142857142857143 0.416666666666667 5
"109.9" 0.441860465116279 0.361702127659574 0.4 0.355555555555556 0.431818181818182 0.28125 0 0.441860465116279 1
"112.8" 0.111111111111111 0.15 0.117647058823529 0.142857142857143 0.3 0.222222222222222 0 0.3 5
"12.150" 0.419354838709677 0.466666666666667 0.5 0.444444444444444 0.482758620689655 0.285714285714286 -1 0.5 3
"12.171" 0.5 0.586206896551724 0.5 0.516129032258065 0.555555555555556 0 0 0.586206896551724 2
"12.178" 0.157894736842105 0.217391304347826 0.333333333333333 0.227272727272727 0.25 0 0 0.333333333333333 3
"12.192" 0 0 0 0 0.125 0 0 0.125 5
"12.193" 0.230769230769231 0.363636363636364 0.384615384615385 0.384615384615385 0.555555555555556 0 0 0.555555555555556 5
"12.286" 0.1875 0.421052631578947 0.444444444444444 0.476190476190476 0.5 -1 -1 0.5 5
"12.290" 0.210526315789474 0.363636363636364 0.428571428571429 0.545454545454545 0.409090909090909 0.266666666666667 0.111111111111111 0.545454545454545 4
"12.70" 0.375 0.371428571428571 0.441176470588235 0.428571428571429 0.483870967741935 0.5 -1 0.5 6
"12.97" 0.181818181818182 0.291666666666667 0.307692307692308 0.307692307692308 0.4 0.444444444444444 0 0.444444444444444 6
"122.11" 0.208333333333333 0.153846153846154 0.193548387096774 0.214285714285714 0.266666666666667 0.555555555555556 -1 0.555555555555556 6
"122.17" 0.210526315789474 0.210526315789474 0.285714285714286 0.304347826086957 0.5 0.142857142857143 0 0.5 5
"122.9" 0.185185185185185 0.142857142857143 0.344827586206897 0.285714285714286 0.375 0.363636363636364 0 0.375 5
"123.31" 0.222222222222222 0.133333333333333 0.2 0.166666666666667 0.285714285714286 0.0833333333333333 0 0.285714285714286 5
"124.2" 0.136363636363636 0.166666666666667 0.166666666666667 0.1 0.166666666666667 0 -1 0.166666666666667 2
"127.11" 0.161290322580645 0.230769230769231 0.269230769230769 0.391304347826087 0.4 0.4 -1 0.4 5
"127.13" 0.19047619047619 0.294117647058824 0.1875 0.272727272727273 0.272727272727273 -1 -1 0.294117647058824 2
"133.7" 0 0.0833333333333333 0 0 0 -1 -1 0.0833333333333333 2
"138.1" 0.0625 0.0769230769230769 0 0 0 -1 -1 0.0769230769230769 2
"139.15" 0.0625 0.0588235294117647 0.0666666666666667 0.117647058823529 0.1875 0.0714285714285714 0 0.1875 5
"139.35" 0.686274509803922 0.551020408163265 0.581395348837209 0.58695652173913 0.555555555555556 0.523809523809524 0 0.686274509803922 1
"148.2" 0 0.153846153846154 0.125 0 0 1 -1 1 6
"15.21" 0.0526315789473684 0.0555555555555556 0.210526315789474 0.227272727272727 0.181818181818182 0 0 0.227272727272727 4
"15.49" 0.407407407407407 0.470588235294118 0.457142857142857 0.457142857142857 0.46875 0.5 0 0.5 6
"15.53" 0.472222222222222 0.487179487179487 0.540540540540541 0.5 0.516129032258065 0.25 0 0.540540540540541 3
"15.79" 0.476190476190476 0.418604651162791 0.513513513513513 0.526315789473684 0.564102564102564 0.575757575757576 0.5 0.575757575757576 6
"151.15" 0.333333333333333 0.333333333333333 0.290322580645161 0.375 0.387096774193548 0.565217391304348 0 0.565217391304348 6
"152.4" 0.121212121212121 0.148148148148148 0.125 0.130434782608696 0.291666666666667 0.133333333333333 0 0.291666666666667 5
"156.10" 0 0 0 0 0 0 0 0 1
"157.3" 0 0 0 0 0 0 0 0 1
"16.122" 0.416666666666667 0.296296296296296 0.32 0.285714285714286 0.217391304347826 0.333333333333333 0 0.416666666666667 1
"16.193" 0 0 0.0909090909090909 0.0833333333333333 0.0666666666666667 0 0 0.0909090909090909 3
"16.66" 0.371428571428571 0.361111111111111 0.314285714285714 0.305555555555556 0.342857142857143 0.2 0 0.371428571428571 1
"16.75" 0.425 0.45 0.390243902439024 0.447368421052632 0.444444444444444 0.272727272727273 -1 0.45 2
"161.7" 0.3 0.3 0.35 0.428571428571429 0.523809523809524 0.411764705882353 0.142857142857143 0.523809523809524 5
"162.3" 0.217391304347826 0.238095238095238 0.217391304347826 0.25 0.24 0.2 -1 0.25 4
"163.5" 0.388888888888889 0.375 0.472222222222222 0.514285714285714 0.514285714285714 0.454545454545455 0 0.514285714285714 4
"165.6" 0 0 0 0 0 -1 -1 0 1
"173.8" 0.380952380952381 0.363636363636364 0.523809523809524 0.434782608695652 0.434782608695652 0.391304347826087 0.333333333333333 0.523809523809524 3
"174.3" 0.235294117647059 0.4375 0.388888888888889 0.45 0.588235294117647 0.363636363636364 0 0.588235294117647 5
"177.4" 0 0 0 0 0 0 0 0 1
"18.10" 0 0 0 0 0 0 0 0 1
"191.2" 0 0.0526315789473684 0.117647058823529 0.235294117647059 0.2 0.357142857142857 0 0.357142857142857 6
"196.35" 0.527777777777778 0.583333333333333 0.578947368421053 0.571428571428571 0.6875 0.483870967741935 0.166666666666667 0.6875 5
"2.11" 0.130434782608696 0.136363636363636 0.166666666666667 0.2 0.32 0.5 -1 0.5 6
