OBJECTID	COMPOUND_KEY_12	FELTNR	STATION_NAME	AREAL_NOR	AREAL_UTM33	MERKNAD	NODE_TETTH	REG_DATO	REGULERT	GRAD_1085	GRAD_FELT	GRAD_ELV	HEIGHT_MIN	HEIGHT_10	HEIGHT_20	HEIGHT_30	HEIGHT_40	HEIGHT_50	HEIGHT_60	HEIGHT_70	HEIGHT_80	HEIGHT_90	HEIGHT_MAX	FELT_LE_KM	ELV_LE_KM	VINKEL_TERR	JORDBRUKPRO	MYRPRO	EFF_MYR	EFF_SJO	SKOGPRO	BREPRO	SJOPRO	SNAUFJPRO	URBANPRO	INTENS_MAX	NORM_AAR	UTMSONE_TPKT	UTM_OST_TPKT	UTM_NORD_TPKT	UTMSONE_INNL	UTM_OST_INNL	UTM_NORD_INNL	SUM_AREALPRO	VASSOMR
3588	200028000	40	Aulestad	866.25	866.25	 	0	20140220	1915	10.60633583	16.22	11.34039014	199	500	658	750	812	850	884	918	961	1026	1513	49.02666	66.75255353	329.82	6.464646465	13.62193362	0	0.042597728	57.95093795	0	2.424242424	7.84992785	0.115440115	0	0	33	229190	6807871	33	217938	6830148	90	2
3966	12100020000	1630	Åmot	282.36	282.2	 	0	20150611	0	12.63838453	22.7	18.04187138	205	286	336	377	418	460	509	552	627	746	1226	23.5486731	40.40600803	313.3	3.35	14.74	0	0.688412547	59.29	0	4.92	13.97	0.03	0	0	33	244672	7001855	33	241874	6988760	96.3	121
4637	2400003000	860	Møska	121.41	121.41	 	0	20121213	0	14.60817858	29.33	17.97593232	8	221	260	288	308	325	343	369	400	454	613	19.5431101	30.485206	209.08	0.97	3.08	0	1.705974885	76.92	0	9.04	8.44	0	0	0	33	34193	6484718	33	39956	6492395	98.82	24
2493	1200097000	444	Bergheim	4248.54	4248.54	 	0	20111209	1935	-999	20.82	-999	152	700	850	940	1002	1071	1139	1225	1338	1500	1930	106.8145294	-999	264.42	1.73	7.06	0	0.293031323	34.63	0.94	6.39	44.73	0.19	0	0	33	139680	6745597	33	83515	6746305	95.67	12
2494	8400011000	1421	Hovefoss	234.13	234.13	 	0	20121213	0	22.19605015	36.37	26.19976806	20	255	389	473	549	627	704	783	869	1009	1469	30.70649639	42.71030177	301.67	3.14	4.94	0	0.454766548	26.03	0.03	4.52	55.96	0.03	0	0	33	22004	6861837	33	37154	6862323	94.67	84
2496	300022000	330	Høgfoss	299.29	299.29	 	0	20121213	0	3.340892409	0	3.289289453	47	94	110	122	138	153	169	184	202	227	347	34.28772268	62.65790923	0	20.02	1.19	0	0.56318631	71.73	0	2.39	0	1.43	0	0	0	0	0	0	0	0	96.76	3
2499	1200209000	526	Urula	542.89	542.89	 	0	20110307	0	-999	19.36	-999	221	527	603	679	763	840	897	949	1004	1060	1279	35.28222989	-999	177.82	1.04	5.47	0	0.378967715	66.23	0	4.5	20.67	0.01	0	0	33	203561	6727332	33	196454	6735232	97.92	12
2504	2200004000	831	Kjølemo	1757.7	1757.7	 	0	20121213	1934	44.27123928	24.14	33.25954793	10	218	288	367	455	560	678	767	836	904	1160	102.1742156	6.415	163.75	1.28	6.15	0	0.384068027	47.14	0	7.88	33.02	0.04	0	0	33	62001	6521250	33	62720	6568597	95.51	22
2512	4100001000	1055	Stordalsvatn	130.61	130.61	 	0	20110304	0	34.92147886	0	36.92572716	51	89	251	441	583	681	764	864	931	1036	1294	23.06831605	29.43747039	273.13	3.11	1.05	0	6.679458206	24.81	0	10.6	57.52	0	0	0	33	5072	6654090	33	15523	6660111	97.09	41
2532	200614000	311	Rosten	1833.91	1833.91	 	0	20110118	0	8.73	7.53	13.16	319	675	900	1027	1108	1186	1263	1340	1431	1545	2207	72.86034903	102.35	327.4	3.21	2.05	0	0.019164343	21.57	0.36	1.44	67.6	0.1	0	0	33	183101	6899977	33	138954	6897623	96.33	2
2570	7300027000	1277	Sula	30.32	30.32	 	0	20121213	0	22.6844167	18.13	35.11258116	1006	1240	1264	1296	1325	1349	1392	1426	1467	1521	1808	11.00867736	13.81271282	263.91	0	0.56	0	3.781765064	0.13	0.43	9.14	89.48	0	0	0	33	131694	6796541	33	136045	6794212	99.74	73
2576	1600122000	677	Grovåi	42.69	42.69	 	0	20100420	0	25.36	24.65	20.47	717	790	822	848	880	914	946	992	1048	1093	1199	12.05	18.53	147.22	0	11.64	0	0.27	59.79	0	3.1	21.85	0	0	0	33	120852	6634750	33	119320	6640840	96.38	16
2580	17400003000	2026	Øvstevatn	28.442	28.44	 	0	20040202	0	98.5292651	0	82.8244288	275	334	430	504	605	727	830	919	1009	1148	1541	6.648141025	7.686379601	0	0.53	2.81	0	0.901499974	23.66	6.08	1.62	54.29	0	0	0	0	0	0	0	0	0	88.99	174
