"stSamletID" "stID" "stNavn" "coords.x1" "coords.x2" "coords.x3" "optional"
"2070" "000200011000" "2.11.0" "Narsjø" 317821 6919394 0 TRUE
"14259" "000200028000" "2.28.0" "Aulestad" 246027 6795979 0 TRUE
"1592" "000200032000" "2.32.0" "Atnasjø" 248696 6866933 0 TRUE
"169" "000200142000" "2.142.0" "Knappom" 338530 6726448 0 TRUE
"6859" "000200145000" "2.145.0" "Losna" 247417 6809063 0 TRUE
"19570" "000200265000" "2.265.0" "Unsetåa" 294592 6874376 0 TRUE
"9633" "000200268000" "2.268.0" "Akslen" 154948 6869267 0 TRUE
"8180" "000200279000" "2.279.0" "Kråkfoss" 282324 6672734 0 TRUE
"15709" "000200291000" "2.291.0" "Tora" 126995 6895583 0 TRUE
"4617" "000200323000" "2.323.0" "Fura" 300585 6755550 0 TRUE
"5110" "000200439000" "2.439.0" "Kvarstadseter" 279236 6789603 0 TRUE
"2788" "000200463000" "2.463.0" "Vismunda" 259786 6766299 0 TRUE
"11711" "000200479000" "2.479.0" "Li bru" 238403 6885379 0 TRUE
"1473" "000200604000" "2.604.0" "Elverum" 313304 6753674 0 TRUE
"10450" "000200614000" "2.614.0" "Rosten" 205839 6871105 0 TRUE
"16001" "000200633000" "2.633.0" "Stortorp" 302085 6585263 0 TRUE
"15598" "000200634000" "2.634.0" "Lena" 271220 6733473 0 TRUE
"6764" "000300022000" "3.22.0" "Høgfoss" 265842 6608781 0 TRUE
"4537" "000600010000" "6.10.0" "Gryta" 265785 6657426 0 TRUE
"13294" "000600071000" "6.71.0" "Sinnerdammen" 250170 6679166 0 TRUE
"975" "000800002000" "8.2.0" "Bjørnegårdssvingen" 248791 6648064 0 TRUE
"9413" "000800006000" "8.6.0" "Sæternbekken" 252405 6653449 0 TRUE
"3293" "001200070000" "12.70.0" "Etna" 209139 6769367 0 TRUE
"3279" "001200097000" "12.97.0" "Bergheim" 183106 6717868 0 TRUE
"20006" "001200114000" "12.114.0" "Garhammerfoss" 224321 6684852 0 TRUE
"7095" "001200150000" "12.150.0" "Buvatn" 160638 6721504 0 TRUE
"11983" "001200171000" "12.171.0" "Hølervatn" 197824 6743203 0 TRUE
"6742" "001200178000" "12.178.0" "Eggedal" 191232 6681335 0 TRUE
"18299" "001200192000" "12.192.0" "Sundbyfoss" 224211 6607750 0 TRUE
"15124" "001200193000" "12.193.0" "Fiskum" 206957 6629206 0 TRUE
"15517" "001200209000" "12.209.0" "Urula" 219200 6724518 0 TRUE
"2057" "001200215000" "12.215.0" "Storeskar" 138604 6769129 0 TRUE
"478" "001200286000" "12.286.0" "Jaren ndf." 254273 6704730 0 TRUE
"17669" "001200290000" "12.290.0" "Bagn" 204636 6753661 0 TRUE
"6692" "001500021000" "15.21.0" "Jondalselv" 193828 6631396 0 TRUE
"576" "001500049000" "15.49.0" "Halledalsvatn" 142101 6724067 0 TRUE
"15444" "001500053000" "15.53.0" "Borgåi" 169286 6700653 0 TRUE
"5936" "001500079000" "15.79.0" "Orsjoren" 129057 6712954 0 TRUE
"12901" "001500174000" "15.174.0" "Istreelva" 223988 6558407 0 TRUE
"8655" "001600066000" "16.66.0" "Grosettjern" 126013 6651976 0 TRUE
"11065" "001600075000" "16.75.0" "Tannsvatn (Lognvikvatnet)" 109976 6635419 0 TRUE
"13516" "001600122000" "16.122.0" "Grovåi" 123333 6630479 0 TRUE
"6392" "001600132000" "16.132.0" "Gjuvå" 151654 6640467 0 TRUE
"4411" "001600140000" "16.140.0" "Kvenna" 102789 6674926 0 TRUE
"6693" "001600193000" "16.193.0" "Hørte" 167474 6602769 0 TRUE
"10909" "001800010000" "18.10.0" "Gjerstad" 156332 6542433 0 TRUE
"14603" "001900107000" "19.107.0" "Lilleelv" 132635 6494410 0 TRUE
"21162" "002000002000" "20.2.0" "Austenå" 102216 6542728 0 TRUE
"7114" "002100047000" "21.47.0" "Lislefjødd" 72814 6632279 0 TRUE
"17377" "002200004000" "22.4.0" "Kjølemo" 60379 6466492 0 TRUE
"3537" "002200016000" "22.16.0" "Myglevatn ndf." 67715 6502242 0 TRUE
"11771" "002200022000" "22.22.0" "Søgne" 78051 6461281 0 TRUE
"7612" "002400003000" "24.8.0" "Møska (Skolandsvatnet)" 33568 6474222 0 TRUE
"168" "002400009000" "24.9.0" "Tingvatn (Lygne)" 46112 6499670 0 TRUE
"19259" "002500024000" "25.24.0" "Gjuvvatn" 55441 6583769 0 TRUE
"19823" "002500032000" "25.32.0" "Knabåni" 35132 6531137 0 TRUE
"1671" "002600020000" "26.20.0" "Årdal" 5920 6520601 0 TRUE
"1420" "002600026000" "26.26.0" "Jogla" 36975 6563318 0 TRUE
"14079" "002600029000" "26.29.0" "Refsvatn" -5758 6500337 0 TRUE
"11846" "002700016000" "27.16.0" "Bjordal" 7608 6536382 0 TRUE
"10899" "002700024000" "27.24.0" "Helleland" -14357 6522106 0 TRUE
"2212" "002800007000" "28.7.0" "Haugland" -40978 6543709 0 TRUE
"9531" "003500016000" "35.16.0" "Djupadalsvatn" 9729 6603103 0 TRUE
"12185" "003600009000" "36.9.0" "Middal" 52856 6673424 0 TRUE
"5229" "004100001000" "41.1.0" "Stordalsvatn" -5158 6650416 0 TRUE
"12119" "004200002000" "42.2.0" "Djupevad" -12402 6666583 0 TRUE
"18574" "004600009000" "46.9.0" "Fønnerdalsvatn" 15716 6690900 0 TRUE
"8425" "004800001000" "48.1.0" "Sandvenvatn" 29632 6683089 0 TRUE
"4059" "004800005000" "48.5.0" "Reinsnosvatn" 38833 6676909 0 TRUE
"17596" "005000001000" "50.1.0" "Hølen" 45408 6719745 0 TRUE
"6313" "005000013000" "50.13.0" "Bjoreio" 81427 6718516 0 TRUE
"19028" "005500004000" "55.4.0" "Røykenes" -27867 6717480 0 TRUE
"14569" "005500005000" "55.5.0" "Dyrdalsvatn" -21970 6727936 0 TRUE
"2950" "006200005000" "62.5.0" "Bulken (Vangsvatnet)" 24518 6753006 0 TRUE
